日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index English Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
2021-06-17,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5891.53,5951.58,5891.53,5944.47,46.69,0.79,57184.24,8034.89,3644
2021-06-18,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5945.19,5987.84,5926.65,5971.44,26.97,0.45,63685.3,9215.75,3644
2021-06-21,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5956.11,6014.79,5934.56,5993.28,21.84,0.37,63097.69,9263.69,3645
2021-06-22,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6009.31,6031.59,5987.15,6029.51,36.23,0.6,66033.57,9147.2,3647
2021-06-23,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6033.53,6080.89,6017.32,6066.16,36.65,0.61,65783.33,9740.26,3648
2021-06-24,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6073.08,6073.53,6029.05,6050.89,-15.27,-0.25,63257.77,8919.49,3648
2021-06-25,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6052.97,6131.74,6049.74,6120.18,69.29,1.15,66042.52,9437.22,3648
2021-06-28,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6130.05,6154.01,6120.32,6148.35,28.17,0.46,62099.55,9131.81,3648
2021-06-29,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6151.94,6151.94,6088.59,6092.03,-56.32,-0.92,60490.9,8963.14,3648
2021-06-30,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6093.75,6147.48,6087.65,6143.37,51.34,0.84,55382.37,8422.61,3649
2021-07-01,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6159.1,6161.79,6093.53,6110.66,-32.71,-0.53,61164.67,9189.67,3650
2021-07-02,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6074.05,6074.05,5982.52,5990.86,-119.79,-1.96,58627.02,9137.9,3650
2021-07-05,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5991.72,6030.96,5979.37,6026.58,35.71,0.6,59552.48,9210.32,3651
2021-07-06,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6033.1,6046.62,5947.48,6015.77,-10.81,-0.18,64139.01,10170.71,3651
2021-07-07,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5980.74,6098.1,5968.73,6091.41,75.64,1.26,63345.45,9529.65,3652
2021-07-08,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6103.37,6110.29,6048.4,6057.22,-34.19,-0.56,71188.48,10898.94,3655
2021-07-09,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6029.12,6075.49,5970.5,6061.47,4.25,0.07,69404.6,10264.85,3657
2021-07-12,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6105.18,6174.61,6078.57,6153.98,92.52,1.53,82478.57,12230.58,3674
2021-07-13,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6149.58,6178.03,6138.47,6177.7,23.72,0.39,77291.47,11267.11,3676
2021-07-14,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6162.3,6167.14,6104.81,6111.56,-66.15,-1.07,79050.56,11261.83,3677
